#Chi is reported as CHI_(i)_(j) \hbar \omega (Ry)  Re(chi) (e^2*a_0^2/Ry) Im(chi) (e^2*a_0^2/Ry) 
# S(E) satisfies the sum rule 
     chi_1_1=  0.000000000000000E+00  0.175030063646433E+02  -.000000000000000E+00
     chi_2_1=  0.000000000000000E+00  0.201048286742518E-04  -.000000000000000E+00
     chi_3_1=  0.000000000000000E+00  -.406744154991029E-05  -.000000000000000E+00
     chi_1_2=  0.000000000000000E+00  0.201048286761436E-04  -.000000000000000E+00
     chi_2_2=  0.000000000000000E+00  0.175030282251151E+02  -.000000000000000E+00
     chi_3_2=  0.000000000000000E+00  -.765431877459590E-06  -.000000000000000E+00
     chi_1_3=  0.000000000000000E+00  -.406744155047830E-05  -.000000000000000E+00
     chi_2_3=  0.000000000000000E+00  -.765431880392977E-06  -.000000000000000E+00
     chi_3_3=  0.000000000000000E+00  0.175030182731739E+02  -.000000000000000E+00
     S(E)=  0.000000000000000E+00  -.000000000000000E+00
     chi_1_1=  0.100000000000000E-02  0.175030343550331E+02  0.560241100882708E-03
     chi_2_1=  0.100000000000000E-02  0.201048824373411E-04  0.107653196091666E-08
     chi_3_1=  0.100000000000000E-02  -.406745216328758E-05  -.212513241072961E-09
     chi_1_2=  0.100000000000000E-02  0.201048824392329E-04  0.107653196149533E-08
     chi_2_2=  0.100000000000000E-02  0.175030562155597E+02  0.560242197576053E-03
     chi_3_2=  0.100000000000000E-02  -.765431728245833E-06  0.301085357084588E-11
     chi_1_3=  0.100000000000000E-02  -.406745216385559E-05  -.212513241132425E-09
     chi_2_3=  0.100000000000000E-02  -.765431731179267E-06  0.301085261373579E-11
     chi_3_3=  0.100000000000000E-02  0.175030462636000E+02  0.560241827780629E-03
     S(E)=  0.100000000000000E-02  0.178330474546499E-06
     chi_1_1=  0.200000000000000E-02  0.175031183268493E+02  0.112049516293243E-02
     chi_2_1=  0.200000000000000E-02  0.201050437285026E-04  0.215310190953951E-08
     chi_3_1=  0.200000000000000E-02  -.406748400378575E-05  -.425033830303724E-09
     chi_1_2=  0.200000000000000E-02  0.201050437303945E-04  0.215310191069692E-08
     chi_2_2=  0.200000000000000E-02  0.175031401875402E+02  0.112049735635304E-02
     chi_3_2=  0.200000000000000E-02  -.765431280565004E-06  0.602250182410790E-11
     chi_1_3=  0.200000000000000E-02  -.406748400435377E-05  -.425033830422652E-09
     chi_2_3=  0.200000000000000E-02  -.765431283498582E-06  0.602249990977566E-11
     chi_3_3=  0.200000000000000E-02  0.175031302355251E+02  0.112049661675535E-02
     S(E)=  0.200000000000000E-02  0.713330149534135E-06
     chi_1_1=  0.300000000000000E-02  0.175032582820317E+02  0.168077514816854E-02
     chi_2_1=  0.300000000000000E-02  0.201053125534172E-04  0.322974783704173E-08
     chi_3_1=  0.300000000000000E-02  -.406753707250372E-05  -.637569116515090E-09
     chi_1_2=  0.300000000000000E-02  0.201053125553092E-04  0.322974783877801E-08
     chi_2_2=  0.300000000000000E-02  0.175032801429966E+02  0.168077843838424E-02
     chi_3_2=  0.300000000000000E-02  -.765430534298423E-06  0.903573954721930E-11
     chi_1_3=  0.300000000000000E-02  -.406753707307175E-05  -.637569116693484E-09
     chi_2_3=  0.300000000000000E-02  -.765430537232240E-06  0.903573667544029E-11
     chi_3_3=  0.300000000000000E-02  0.175032701908890E+02  0.168077732897058E-02
     S(E)=  0.300000000000000E-02  0.160502377982125E-05
     chi_1_1=  0.400000000000000E-02  0.175034542238139E+02  0.224109402031520E-02
     chi_2_1=  0.400000000000000E-02  0.201056889215537E-04  0.430650774153099E-08
     chi_3_1=  0.400000000000000E-02  -.406761137127313E-05  -.850126449859972E-09
     chi_1_2=  0.400000000000000E-02  0.201056889234459E-04  0.430650774384633E-08
     chi_2_2=  0.400000000000000E-02  0.175034760851622E+02  0.224109840742774E-02
     chi_3_2=  0.400000000000000E-02  -.765429489248272E-06  0.120513617376675E-10
     chi_1_3=  0.400000000000000E-02  -.406761137184118E-05  -.850126450097834E-09
     chi_2_3=  0.400000000000000E-02  -.765429492182422E-06  0.120513579081050E-10
     chi_3_3=  0.400000000000000E-02  0.175034661329253E+02  0.224109692817759E-02
     S(E)=  0.400000000000000E-02  0.285345262621834E-05
     chi_1_1=  0.500000000000000E-02  0.175037061567226E+02  0.280146474565404E-02
     chi_2_1=  0.500000000000000E-02  0.201061728461697E-04  0.538341963151823E-08
     chi_3_1=  0.500000000000000E-02  -.406770690265850E-05  -.106271318248674E-08
     chi_1_2=  0.500000000000000E-02  0.201061728480622E-04  0.538341963441291E-08
     chi_2_2=  0.500000000000000E-02  0.175037280185640E+02  0.280147022979912E-02
     chi_3_2=  0.500000000000000E-02  -.765428145137568E-06  0.150701637080776E-10
     chi_1_3=  0.500000000000000E-02  -.406770690322658E-05  -.106271318278407E-08
     chi_2_3=  0.500000000000000E-02  -.765428148072145E-06  0.150701589202829E-10
     chi_3_3=  0.500000000000000E-02  0.175037180661608E+02  0.280146838068508E-02
     S(E)=  0.500000000000000E-02  0.445867445955839E-05
     chi_1_1=  0.600000000000000E-02  0.175040140865791E+02  0.336190029387729E-02
     chi_2_1=  0.600000000000000E-02  0.201067643443125E-04  0.646052152938829E-08
     chi_3_1=  0.600000000000000E-02  -.406782366995751E-05  -.127533666920490E-08
     chi_1_2=  0.600000000000000E-02  0.201067643462053E-04  0.646052153286264E-08
     chi_2_2=  0.600000000000000E-02  0.175040359490231E+02  0.336190687522453E-02
     chi_3_2=  0.600000000000000E-02  -.765426501610128E-06  0.180929411913596E-10
     chi_1_3=  0.600000000000000E-02  -.406782367052562E-05  -.127533666956171E-08
